,mc1,mc2,mc3,mc4,mc5
EX_fe2,-0.0055526726496282,-0.0001527627716768,-0.0034342699624403,-0.006115126332019827,-0.005564203521657873
EX_fe3,-0.0004750650107325,-5.931344253440329e-05,-0.0001200201140818,-4.354189968580613e-07,-0.0011594077774361722
EX_fol,-0.0056856177199051,-0.0232686253312977,-0.013917793138944,-0.009444999466040827,-0.004720897318406969
EX_for,76.5335660802275,0.5891112650144805,58.79503966157063,1.224657378540087,36.42868062284674
EX_fru,209.7592765973025,1.2498662151241433,111.78929818870506,392.8783602964513,184.51041962810086
EX_fum,33.588700561057294,0.3599158912671782,30.674160327394706,128.1379043443385,30.911964446158436
EX_gal,215.8629152774884,355.5758292911355,300.1420009786466,397.79310603215754,185.83792874602682
EX_galt,0.0,0.0,0.0,0.0,0.0
EX_gam,0.0,0.0,0.0,-1.406808723913855e-05,0.0
EX_gcald,0.0014251950899506,0.0001779403274895,0.0003600604020448,1.3064059203315992e-06,0.004637631186596991
EX_gchola,0.0,0.0,0.0,0.0,0.0
EX_glc_D,102.94600000012588,1.1025033237224309,94.01317348991915,392.7315463855689,94.74202358839989
EX_glcn,62.63672493522131,43.63391685247302,16.261453324415243,0.49382655671695375,150.47214205532714
EX_gln_L,110.43578739877717,391.390607776556,283.13459343773366,398.1401851423843,96.86942167583175
EX_glu_L,174.15720000050285,398.78937111691175,285.5853174400572,7.160960004822755,201.98242388416656
EX_gly,277.0084446635185,399.88408696777697,379.5787284026928,399.8925063903914,296.724447472566
EX_glyasn,0.0,0.0,1.1368683772161605e-13,-7.907359918135626e-05,1.1368683772161603e-13
EX_glyasp,0.0,0.0,0.0,0.0,1.1368683772161603e-13
EX_glyc,174.1774732900567,398.7894738657208,285.58740056855754,7.134829432474476,202.0001184780922
EX_glyc3p,0.0,0.0,0.0,0.0,0.0
EX_glycys,0.0,0.0,0.0,0.0,0.0
EX_glygln,0.0,0.0,0.0,0.0,0.0
EX_glyglu,0.0,0.0,0.0,0.0,1.1368683772161603e-13
EX_glyleu,0.0,0.0,1.1368683772161605e-13,0.0,0.0
EX_glymet,0.0,0.0,0.0,0.0,0.0
EX_glyphe,0.0,0.0,1.1368683772161605e-13,0.0,1.1368683772161603e-13
EX_glypro,0.0,0.0,1.1368683772161605e-13,0.0,1.1368683772161603e-13
EX_glytyr,0.0,0.0,1.1368683772161605e-13,0.0,1.1368683772161603e-13
EX_gncore1,0.0,0.0,0.0,0.0,0.0
EX_gncore2,0.0,0.0,0.0,0.0,0.0
EX_gthox,0.0,0.0,0.0,0.0,0.0
EX_gua,64.43746029742874,184.05317281843625,109.2782353557468,2.512823793530629,150.45867048788136
EX_h,321.1093055096203,399.9534655797015,386.92282749215474,399.92085020076,333.7083565500186
EX_h2,61.37800000012567,7.671998061640238,15.51397339236746,0.06624760012573461,149.780101292881
EX_h2o,260.9596765976805,399.8711117719158,376.9131065579845,399.8718267011484,283.1572909840786
EX_h2s,0.0,0.0,0.0,0.0,0.0
EX_hdca,61.20582409816029,7.650501329893132,15.470474979373307,0.0,149.35990180346516
EX_hexs,0.0,0.0,0.0,0.0,0.0
EX_hg2,0.0,0.0,0.0,0.0,0.0
EX_his_L,341.12049419293294,399.89990041360375,390.1840015794624,399.9012497456199,350.5342114585412
EX_hista,102.94599999999993,1.102503323596693,94.01317348979364,392.7315463854429,94.74202358827392
EX_hxan,105.28294867371574,0.8292602889866885,80.94884886178602,1.6860653676552602,50.06949216292924
EX_ile_L,61.063764516567744,7.400283122744554,15.22271628175497,-0.2620190258794537,149.45897455553222
EX_ins,61.37800000012567,7.671998061640238,15.508153084476248,-4.383255941320385e-05,149.780101292881
EX_isetac,0.0,0.0,0.0,0.0,0.0
EX_isobut,61.37800000012567,7.671998061640238,15.51397339236746,0.04290177984080401,149.780101292881
EX_isocapr,61.37800000012567,7.671998061640238,15.51397339236746,0.06624760012573461,149.780101292881
EX_isoval,30.689000000062837,3.835999030820062,7.756986696183731,0.0,74.89005064644039
EX_k,-0.0044273449906313,-0.0078315190006605,-0.0063397898298944,-0.0031814935214242723,-0.0037118706759429188
EX_lac_D,106.63320000025146,36.79135549709849,81.71159469029772,2.179912404571269,50.839212654235325
EX_lac_L,174.15720000050285,398.7820064618402,285.5853174400572,7.160960004822755,201.98242388416656
EX_lactl,0.0,0.0,0.0,0.0,0.0
EX_lanost,-0.0038437780184494,-4.943598014506279e-06,-0.000639390866695,-4.923840492665477e-06,-0.0032303442428656126
EX_lcts,0.0,0.0,0.0,0.0,0.0
EX_leu_L,277.1032000006285,399.8918744406344,379.5984909299766,399.8925063903914,296.724447472566
EX_lys_L,113.59461358711565,7.761915413430302,55.498073157929184,0.6191688674621219,174.51179037617317
EX_malt,102.94600000012564,1.1025033237224309,94.0131734899196,392.73154638556866,94.74202358839966
EX_malthx,0.0,0.0,0.0,0.0,0.0
EX_malttr,0.0,0.0,0.0,0.0,0.0
EX_man,0.0,0.0,0.0,0.0,0.0
EX_melib,0.0,0.0,0.0,0.0,0.0
